# Receiver Point (#),X(m),Y(m),Z(m),Distance (m),Strongest Power (dBm),Total Power (dBm),Total Power With Phase (dBm),Best SINR (dB),RSSI (dBm),RSRP (dBm),RSRQ (dB),Strongest power transmitter (Tx #)
305,1437.39,1120.6,2.0,608.0,-16.0453,-14.01435,-21.14515,2.245878,-14.01435,-46.83711,-12.82276,8.0
306,1438.92,1119.32,2.0,610.0,-15.7518,-13.55998,-23.80706,1.827896,-13.55998,-46.54361,-12.98363,8.0
307,1440.46,1118.04,2.0,612.0,-17.0265,-14.54679,-20.0756,1.135146,-14.54679,-47.81831,-13.27152,8.0
308,1441.99,1116.76,2.0,614.0,-15.3179,-12.84324,-15.38168,1.146758,-12.84324,-46.10971,-13.26647,8.0
309,1443.52,1115.48,2.0,616.0,-15.6734,-12.93521,-12.55476,0.5624132,-12.93521,-46.46521,-13.53,8.0
310,1445.06,1114.2,2.0,618.0,-16.6539,-13.70731,-11.48917,0.1283688,-13.70731,-47.44571,-13.7384,8.0
311,1446.6,1112.92,2.0,620.0,-17.4911,-14.29204,-10.68205,-0.3696659,-14.29204,-48.28291,-13.99088,8.0
312,1448.14,1111.64,2.0,622.0,-17.5498,-14.28235,-10.052,-0.4999184,-14.28235,-48.34161,-14.05926,8.0
313,1449.67,1110.36,2.0,624.0,-16.3649,-13.50901,-9.266557,0.3145228,-13.50901,-47.15671,-13.6477,8.0
314,1451.21,1109.09,2.0,626.0,-15.7666,-13.12387,-9.226625,0.7691458,-13.12387,-46.55841,-13.43454,8.0
315,1452.75,1107.81,2.0,628.0,-14.6993,-12.3736,-8.93251,1.497687,-12.3736,-45.49111,-13.11751,8.0
316,1454.29,1106.54,2.0,630.0,-13.8523,-11.7085,-9.288083,1.950104,-11.7085,-44.64411,-12.93561,8.0
317,1455.83,1105.27,2.0,632.0,-13.332,-11.084,-10.37862,1.687506,-11.084,-44.12381,-13.03981,8.0
318,1457.37,1103.99,2.0,634.0,-12.7561,-10.53759,-12.73675,1.760847,-10.53759,-43.54791,-13.01033,8.0
319,1458.91,1102.72,2.0,636.0,-12.5906,-11.19476,-12.11088,4.212886,-11.19476,-43.38241,-12.18765,8.0
320,1460.45,1101.45,2.0,638.0,-15.7989,-13.00022,-17.375,0.4340949,-13.00022,-46.59071,-13.59049,8.0
321,1461.99,1100.18,2.0,640.0,-15.5756,-12.71409,-19.17306,0.3028514,-12.71409,-46.36741,-13.65333,8.0
322,1463.54,1098.91,2.0,642.0,-14.9575,-12.00056,-18.03173,0.1073746,-12.00055,-45.74931,-13.74876,8.0
323,1465.08,1097.63,2.0,644.0,-13.6749,-11.34473,-14.94374,1.486926,-11.34473,-44.46671,-13.12198,8.0
324,1466.62,1096.36,2.0,646.0,-13.2941,-11.08843,-12.22417,1.793013,-11.08842,-44.08591,-12.99749,8.0
325,1468.16,1095.09,2.0,648.0,-13.3685,-11.10443,-9.119795,1.647837,-11.10443,-44.16031,-13.05588,8.0
326,1469.71,1093.82,2.0,650.0,-13.3897,-11.18284,-8.135184,1.790031,-11.18284,-44.18151,-12.99868,8.0
327,1471.25,1092.55,2.0,652.0,-13.1236,-10.93379,-7.174207,1.832969,-10.93379,-43.91541,-12.98162,8.0
328,1472.79,1091.28,2.0,654.0,-13.2045,-10.79205,-6.681806,1.291356,-10.79205,-43.99631,-13.20426,8.0
