TIME,LATITUDE,LONGITUDE,TYPE,TAC,PCI,ECI,EARFCN,RSSI,RSRP,RSRQ,SINR,NID,BID,SID,CDMADBM,CDMAECIO
20230228 13:56:15.800,31.288854,121.205297,LTE,23996.0,206.0,96769075.0,1850.0,-71.0,-72,-9,8.0,14,13070,13840,-70,-9.3
20230228 13:56:16.047,31.288865,121.205307,LTE,23996.0,206.0,96769075.0,1850.0,-71.0,-72,-9,8.0,14,13070,13840,-70,-9.3
20230228 13:56:17.061,31.288877,121.205316,LTE,23996.0,206.0,96769075.0,1850.0,-71.0,-72,-9,8.0,14,13070,13840,-70,-9.3
20230228 13:56:18.154,31.288877,121.205316,LTE,23996.0,206.0,96769075.0,1850.0,-69.0,-72,-9,8.0,14,13070,13840,-70,-9.3
20230228 13:56:18.159,31.288888,121.205326,LTE,23996.0,206.0,96769075.0,1850.0,-69.0,-72,-9,8.0,14,13070,13840,-70,-9.3
20230228 13:56:19.054,31.288899,121.205338,LTE,23996.0,206.0,96769075.0,1850.0,-69.0,-72,-9,8.0,14,13070,13840,-70,-9.3
20230228 13:56:19.778,31.288899,121.205338,LTE,23996.0,206.0,96769075.0,1850.0,-69.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:20.044,31.288912,121.20535,LTE,23996.0,206.0,96769075.0,1850.0,-69.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:20.487,31.288912,121.20535,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:21.070,31.288925,121.205364,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:22.104,31.288936,121.205377,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:22.814,31.288936,121.205377,LTE,23996.0,206.0,96769075.0,1850.0,-75.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:23.040,31.288948,121.205389,LTE,23996.0,206.0,96769075.0,1850.0,-75.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:24.052,31.288959,121.205403,LTE,23996.0,206.0,96769075.0,1850.0,-75.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:25.203,31.288959,121.205403,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:25.211,31.28897,121.205416,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-72,-9,8.0,14,13070,13840,-71,-9.3
20230228 13:56:25.780,31.28897,121.205416,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-67,-9,8.0,14,13070,13840,-72,-9.3
20230228 13:56:26.124,31.288983,121.20543,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-67,-9,8.0,14,13070,13840,-72,-9.3
20230228 13:56:27.057,31.288995,121.205445,LTE,23996.0,206.0,96769075.0,1850.0,-77.0,-67,-9,8.0,14,13070,13840,-72,-9.3
20230228 13:56:27.556,31.288995,121.205445,LTE,23996.0,206.0,96769075.0,1850.0,-73.0,-67,-9,8.0,14,13070,13840,-72,-9.3
20230228 13:56:27.590,31.288995,121.205445,LTE,23996.0,206.0,96769075.0,1850.0,-73.0,-67,-9,11.0,14,13070,13840,-72,-10.0
20230228 13:56:28.140,31.289006,121.20546,LTE,23996.0,206.0,96769075.0,1850.0,-73.0,-67,-9,11.0,14,13070,13840,-72,-10.0
20230228 13:56:28.145,31.289006,121.20546,LTE,23996.0,206.0,96769075.0,1850.0,-73.0,-67,-9,11.0,14,13070,13840,-72,-10.0
20230228 13:56:28.182,31.289006,121.20546,LTE,23996.0,206.0,96769075.0,1850.0,-73.0,-67,-9,11.0,14,13070,13840,-72,-10.0
20230228 13:56:29.053,31.289016,121.205472,LTE,23996.0,206.0,96769075.0,1850.0,-73.0,-67,-9,11.0,14,13070,13840,-72,-10.0
20230228 13:56:29.854,31.289016,121.205472,LTE,23996.0,206.0,96769075.0,1850.0,-75.0,-67,-9,11.0,14,13070,13840,-72,-10.0
20230228 13:56:30.112,31.289025,121.205485,LTE,23996.0,206.0,96769075.0,1850.0,-75.0,-67,-9,11.0,14,13070,13840,-72,-10.0
20230228 13:56:31.055,31.289036,121.205497,LTE,23996.0,206.0,96769075.0,1850.0,-75.0,-67,-9,11.0,14,13070,13840,-72,-10.0
